P,mean_time_ms,stdev_time_ms
1,0.08999399999914155,0.05986849974698306
2,0.0795371428579423,0.03310492800359026
4,0.12641571428620832,0.022843001317923894
8,0.23858428571443824,0.044074594180592626
16,0.5392685714288145,0.07719940404402986
32,0.936234571427568,0.2630356386887386
64,1.9063887142851041,0.1499794468698125
